Reporting Year,Reporting Month,D_Name,Proj_Name,Sec_NAme,AWC_ID,AWc_Name,Tot_UW_Normal,Tot_MUW,Tot_SUW,Tot_Wasting_Normal,Tot_Wasting_MAM,Tot_Wasting_SAM,Tot_Stunting_Normal,Tot_Stunting_MAM,Tot_Stunting_SAM
2025,8,SIDDIPET,GAJWEL,Markook,1702323,Pathoor,117,9,1,127,0,0,93,31,3
2025,8,NIRMAL,NIRMAL,Bangalpet,1912010,BALAJEWADA-II,144,5,0,146,3,0,149,0,0
2025,8,MANCHERIAL,MANCHERIAL,ASHOK ROAD,1909152,Ashok Road-II,44,8,0,50,2,0,43,9,0
2025,8,MANCHERIAL,MANCHERIAL,RAMNAGAR,1909202,Garimilla-II,65,1,0,65,1,0,54,12,0
2025,8,MULUGU,MULUGU,VENKATAPUR,2111236,OLD LAXMIDEVPETA,18,0,1,18,1,0,7,10,2
2025,8,NIRMAL,NIRMAL,Sharathmahal,1912049,WADDERA GUDEM,210,10,3,219,4,0,200,17,6
2025,8,MULUGU,MULUGU,Kodeshalakunta,2111247,ANNAMPALLI,19,2,0,20,1,0,19,2,0
2025,8,NIRMAL,NIRMAL,Narsapur-G,1912224,RAMPUR-II,88,0,2,89,1,0,81,7,2
2025,8,NIRMAL,NIRMAL,Narsapur-G,1912274,CHAKPALLI -1,131,8,1,139,1,0,112,25,3
2025,8,BHADRADRI-KOTHAGUDEM,YELLANDU,StationBasthi,2215388,23rd Ward,48,2,2,49,1,2,48,3,1
2025,8,NIRMAL,NIRMAL,Jam,1912303,Laxmipur,35,0,0,35,0,0,33,2,0
2025,8,BHADRADRI-KOTHAGUDEM,YELLANDU,Rompaid,2215349,Simhachalam,9,0,0,9,0,0,9,0,0
2025,8,MANCHERIAL,MANCHERIAL,RAMAN COLONY,1910002,(V)Mandamarri-2,42,2,2,45,1,0,36,7,3
2025,8,BHADRADRI-KOTHAGUDEM,YELLANDU,Sudimalla,2215331,Annaram colony,19,0,0,18,1,0,16,3,0
2025,8,BHADRADRI-KOTHAGUDEM,YELLANDU,Sudimalla,2215038,Bojjaigudem,23,3,0,25,1,0,16,10,0
2025,8,NIRMAL,NIRMAL,Koutla,1912292,Devi Tanda,25,1,0,25,1,0,26,0,0
2025,8,BHADRADRI-KOTHAGUDEM,YELLANDU,Mukundapuram,2215106,Mukundapuram -1,7,3,0,9,1,0,8,1,1
2025,8,BHADRADRI-KOTHAGUDEM,YELLANDU,Mukundapuram,2215399,Oddugudem 3	 ,13,1,0,12,2,0,11,3,0
2025,8,MULUGU,MULUGU,Mallampalli,2111022,Bandarupalli - I,75,7,1,81,2,0,77,6,0
2025,8,MAHABUBNAGAR,JEDCHERLA,Kodugal,1407111,NALLAKUNTA THANDA-1,16,1,0,16,1,0,17,0,0
2025,8,MAHABUBNAGAR,JEDCHERLA,Midjil,1408298,Lakya thanda,27,3,1,28,0,3,18,12,1
2025,8,NALGONDA,CHINTAPALLY,Theededu,2303018,Mansinghthanda,9,1,0,9,1,0,8,1,1
2025,8,MANCHERIAL,CHENNUR,Kistampet,1906029,Katterasala-I,14,1,0,14,1,0,14,1,0
2025,8,BHADRADRI-KOTHAGUDEM,DUMMUGUDEM,Dummugudem,2217050,Workshop,18,3,0,21,0,0,9,4,8
2025,8,SURYAPET,KODAD,Munagala,2306226,Thimmareddygudem-II,25,0,0,22,3,0,25,0,0
2025,8,PEDDAPALLI,PEDDAPALLY,Appannapeta,2012035,GOWREDDYPETA,52,12,1,64,0,1,51,13,1
2025,8,PEDDAPALLI,PEDDAPALLY,Dharmaram,2015162,Dharmaram-4,61,3,1,63,2,0,57,7,1
2025,8,BHADRADRI-KOTHAGUDEM,DUMMUGUDEM,A S R Colony,2202006,A S Rama Raju Colony,57,2,0,59,0,0,39,12,8
2025,8,MANCHERIAL,CHENNUR,Chennur,1906011,Mangalibazar,28,0,1,28,1,0,26,0,3
2025,8,MANCHERIAL,CHENNUR,Chennur,1906280,VISWAKARMA COLONY,27,10,3,37,3,0,21,9,10
2025,8,SURYAPET,KODAD,Nadigudem,2306176,Brundhavanapuram-II,25,1,0,24,2,0,26,0,0
2025,8,PEDDAPALLI,PEDDAPALLY,Medaram,2015094,Dongathurthy-I,45,1,2,45,2,1,33,10,5
2025,8,PEDDAPALLI,PEDDAPALLY,Eligaid,2015044,Dhoolikatta-I,39,4,4,46,0,1,14,15,18
2025,8,PEDDAPALLI,PEDDAPALLY,Eligaid,2015047,Sultanpur-I,31,1,0,32,0,0,25,7,0
2025,8,PEDDAPALLI,PEDDAPALLY,Srirampur,2012171,EADULAPURAM,35,12,0,44,3,0,33,9,5
2025,8,BHADRADRI-KOTHAGUDEM,DUMMUGUDEM,Narasapuram,2217081,K Rgubally,7,2,0,8,1,0,5,4,0
2025,8,SURYAPET,KODAD,Ramapuram,2306111,Hemlathanda-II,42,1,0,42,1,0,43,0,0
2025,8,MANCHERIAL,MANCHERIAL,VIDYANAGAR,1910020,Sripathinagar-3,27,6,0,32,1,0,13,18,2
